,Ciutat Vella,Eixample,Gracia,Horta-Guinardó,Les Corts,Nou Barris,Sant Andreu,Sant Marti,Sants-Montjuic,Sarria-Sant Gervasi
Andalusia,223,476,187,180,89,204,125,302,290,125
Aragó,69,167,49,64,54,57,52,84,103,43
Canaries,106,181,60,65,28,69,38,103,104,70
Cantabria,19,32,17,12,5,11,22,13,27,8
Castella - la Manxa,49,77,26,36,20,39,40,71,43,20
Castella i Lleó,67,146,52,75,43,54,60,103,105,39
Catalunya,2619,4541,1960,2799,1579,3265,2639,3889,4214,2297
Ceuta,5,2,0,5,1,4,0,5,5,4
Comunitat Foral de Navarra,15,59,18,20,12,16,20,25,24,29
Comunitat Valenciana,218,432,175,190,96,144,167,309,297,141
Comunitat de Madrid,313,696,218,202,177,203,156,357,326,250
Estranger,9541,11977,4079,4456,2170,4723,3135,7170,7040,3855
Extremadura,16,47,19,21,7,26,18,30,41,14
Galicia,73,205,88,55,43,67,64,113,112,62
Illes Balears,146,286,114,99,52,72,47,126,136,163
Melilla,20,3,3,2,3,5,7,6,15,1
Pais Basc,90,180,71,52,36,35,47,65,112,61
Principat d'Astúries,26,64,24,22,12,24,17,35,29,15
Regió de Múrcia,35,76,23,45,13,36,21,57,46,20
Rioja,15,24,12,10,3,7,9,21,8,7